"# of Use","# χρήσης"
"%1$s incl tax.","%1$s συμπ.φόρου."
"%s - %s","%s - %s"
"%s Item(s)","%s Προϊόν(τα)"
"%s-%s of %s","%s-%s από %s"
"%s and above","%s και πάνω"
"This setting will be applied when all prices in the specific price interval are equal.","Αυτή η ρύθμιση θα εφαρμοστεί όταν όλες οι τιμές στο συγκεκριμένο διάστημα τιμών είναι ίσες."
"Tier Pricing","Τιμολόγηση Πολλαπλών Τεμαχίων(Tier)"
"Tile","Tile"
"Time Format","Χρόνος Μορφοποίησης"
"Title","Τίτλος"
"To reindex the enabled product(s), the store or product must be specified","Για αναδημιουργία του ενεργοποιημένου προϊόντος(ων), το κατάστημα ή το προϊόν πρέπει να καθοριστούν"
"To see product price, add this item to your cart. You can always remove it later.","Για να δείτε την τιμή του προϊόντος, προσθέστε το είδος στο καλάθι. Μπορείτε πάντα να το διαγράψετε αργότερα."
"Top/Left","Επάνω/Αριστερά"
"Top/Right","Επάνω/Δεξιά"
"Total Qty Base Items","Σύνολο Κατώτερης Ποσ. Ειδών "
"Total Qty Content Items","Σύνολο Ποσ. Περιεχομένων Ειδών"
"Total incl. Tax: %1$s","Συνολικός Συμπ. Φόρος: %1$s"
"Total of %d record(s) have been deleted.","Το Σύνολο των %d εγγραφών(ης) έχουν διαγραφεί."
"Total of %d record(s) have been updated.","Το Σύνολο των %d εγγραφών(ης) έχουν αποθηκευτεί."
"Total of %d record(s) were updated","Το Σύνολο των %d εγγραφών(ης) έχουν ανανεωθεί"
"Type","Τύπος"
"URL Rewrite Management","Διαχείριση Ξαναεγγραμμένων URL"
"Unable to complete this request.","Αδύνατη η ολοκλήρωση της αίτησης."
"Unable to find a search term to delete.","Αδύνατον να βρεθεί ο αναζητούμενος όρος για να διαγραφεί."
"Unable to find an attribute to delete.","Αδύνατον να βρεθεί το χαρακτηριστικό για να διαγραφεί"
"Unable to get the product ID.","Αδύνατον να ληφθεί το ID προϊόντος."
"Unassigned Attributes","Μη Εκχωρημένα Χαρακτηριστικά"
"Unknown EAV indexer type ""%s"".","Άγνωστος τύπος ευρετηρίου Οντ-Χαρακτ-Αξία EAV ""%s""."
"Unknown attribute: %s.","Άγνωστο χαρακτηριστικό: %s."
"Unsupported product type ""%s"".","Μη υποστηριζόμενος τύπος προϊόντος ""%s""."
"Up-sells","Up-sells"
"Update","Ενημέρωση"
"Update Attributes","Ενημέρωση Χαρακτηριστικών."
"Update Tier Price","Ανανέωση Τιμών Πολλαπλών(Tier) Τεμαχίων"
"Update assigned product","Ενημέρωση εκχωρημένου προϊόντος"
"Update attribute","Ενημέρωση χαρακτηριστικού"
"Update attributes","Ενημέρωση χαρακτηριστικών"
"Update category","Ενημέρωση κατηγορίας"
"Update custom option of product","Ενημέρωση προσαρμοσμένης επιλογής προϊόντος"
"Update product","Ενημέρωση προϊόντος"
"Update product image","Ενημέρωση εικόνας προϊόντος"
"Update product link","Ενημέρωση συνδέσμου προϊόντος"
"Update product tier prices","Ενημέρωση πολλαπλών τιμών (tier) προϊόντος"
"Update value of custom option","Ανανέωση τιμής  προσαρμοσμένης επιλογής"
"Upload new product image ","Ανέβασμα εικόνα νέου προϊόντος"
"Use Canonical Link Meta Tag For Categories","Χρήση Κανονικού Συνδέσμου Meta Ετικετών για Κατηγορίες"
"Use Canonical Link Meta Tag For Products","Χρήση Κανονικού Συνδέσμου Meta Ετικετών για Προϊόντα"
"Use Categories Path for Product URLs","Χρήση Διαδρομής Κατηγοριών για URLs Προϊόντων"
"Use Config Settings","Χρήση Ρυθμίσεων Διαμόρφωσης"
"Use Default Value","Χρήση προκαθορισμένης τιμής"
"Use Flat Catalog Category","Χρήση Πάγιας Κατηγορίας Καταλόγου"
"Use Flat Catalog Product","Χρήση Πάγιας Κατηγορίας Προϊόντος"
"Use In Layered Navigation","Χρήση στην πλοήγηση με επίπεδα"
"Use In Search Results Layered Navigation","Χρήση  Πλοήγησης σε Επίπεδα  Στα  Αποτελέσματα Αναζήτησης "
"Use JavaScript Calendar","Χρήση JavaScript Σημειωματάριου"
"Use Static URLs for Media Content in WYSIWYG for Catalog","Χρήση Στατικών URLs για Περιεχόμενο Μέσων στο WYSIWYG για τον Κατάλογο"
"Use To Create Configurable Product","Χρήση για Δημιουργία Διαμορφώσιμου Προϊόντος"
"Use Tree Like Category Sitemap","Χρήση Tree Like Category Sitemap"
"Use config","Χρήση ρυθμίσεων"
"Use default","Χρήση προκαθορισμένου"
"Use for Promo Rule Conditions","Χρήση Συνθηκών για Κανόνες Προώθησης"
"Use four-digit year format.","Χρήση τεσσάρων-ψηφίων για διαμόρφωση έτους"
"Use in Advanced Search","Χρήση Προχωρημένης αναζήτησης"
"Use in Layered Navigation","Χρήση στη Πλοήγηση με Επίπεδα"
"Use in Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Χρήση στη Πλοήγηση με Επίπεδα<br/>(Μπορεί να χρησιμοποιηθεί μόνο στο τύπο εισαγωγής 'Μπάρας Κύλισης')"
"Use in Quick Search","Χρήση στη Γρήγορη Αναζήτηση"
"Used for Sorting in Product Listing","Χρησιμοποίηση για Ταξινόμηση στη Κατηγοριοποίηση Προϊόντος"
"Used in Product Listing","Χρησιμοποίηση στην Κατηγοριοποίηση Προϊόντος"
"Value for ""%s"" is invalid.","Η Τιμή για ""%s"" είναι άκυρη"
"Value for ""%s"" is invalid: %s","Η Τιμή για ""%s"" είναι άκυρη: %s"
"Varchar","Varchar"
"View as","Προβολή ως"
"View Details","Λεπτομέρειες"
"Virtual Product","Εικονικό Προϊόν"
"Visibility","Ορατότητα"
"Visible","Ορατό"
"Visible on Catalog Pages on Front-end","Ορατό στις σελίδες Καταλόγου στο Front-end"
"Visible on Product View Page on Front-end","Ορατό στην Σελίδα Εμφάνισης Προϊόντος στο Προσκήνιο- Frontend"
"WYSIWYG Editor","Κειμενογράφος WYSIWYG"
"Watermark","Υδατογράφημα"
"Watermark Default Size","Προκαθορισμένο Μέγεθος Υδατογραφήματος"
"Watermark Opacity, Percent","Αδιαφάνεια Υδατογραφήματος, Πασοστό"
"Watermark Position","Θέση Υδατογραφήματος"
"We Also Recommend","Συνιστούμε Επίσης"
"Website","Ιστότοπος"
"Website Item Must be checked","Το Είδος του Ιστότοπου Πρέπει να ελέγχεται"
"Website Store Must be checked","Το Κατάστημα του Ιστότοπου Πρέπει να ελέγχεται"
"Websites","Ιστότοποι"
"What's this?","Τι είναι αυτό;"
"Whether to show ""All"" option in the ""Show X Per Page"" dropdown.","Είτε εμφανιστεί η επιλογή ""Όλα"" στη μπάρα κύλισης ""Εμφάνιση Χ Ανά Σελίδα"""
"Will make search for the query above return results for this search.","Θα γίνει αναζήτηση για το παραπάνω ερώτημα και επιστρέφει αποτελέσματα για αυτή την αναζήτηση."
"Wrong BuyRequest instance in options group.","Λάθος παράδειγμα Αίτησης Αγοράς στην ομάδα επιλογών."
"Wrong configuration item instance in options group.","Λάθος παράδειγμα διαμόρφωσης είδους στο σύνολο επιλογών."
"Wrong configuration item option instance in options group.","Λάθος παράδειγμα επιλογής διαμόρφωσης είδους στο σύνολο επιλογών."
"Wrong option instance type in options group.","Λάθος τύπος παραδείγματος επιλογής στο σύνολο επιλογών."
"Wrong option type to get group instance.","Λάθος τύπος επιλογής για λήψη ομάδας παραδειγμάτων."
"Wrong product instance type in options group.","Λάθος τύπος παραδείγματος προϊόντος στο σύνολο επιλογών."
"Wrong product type filter specified","Καθορίστηκε λάθος φίλτρο τύπου προϊόντος"
"Wrong product type to extract configurable options.","Λάθος τύπος προϊόντος για να εξαγάγει διαμορφωμένες επιλογές."
"Year Range","Διάστημα Έτους"
"Yes","Ναι"
"You cannot remove system attribute from this set.","Δεν μπορείτε να αφαιρέσετε χαρακτηριστικό συστήματος από αυτό το σύνολο."
"You have no items to compare.","Δεν έχετε αντικείμενα προς σύγκριση."
"You may also be interested in the following product(s)","Μπορεί επίσης να σας ενδιαφέρουν τα παρακάτω προϊόντα"
"Zoom In","Μεγέθυνση"
"Zoom Out","Σμίκρυνση"
"and","και"
"and above","και άνω"
"categories","κατηγορίες"
"each","έκαστο"
"ex. http://domain.com","π.χ. http://domain.com"
"leave blank if its not an image","αφήστε κενό αν δεν είναι δική του εικόνα"
"per page","ανά σελίδα"
"products","προϊόντα"
"px.","px."
"save","αποθήκευση"
"select all","επιλογή όλων"
"unselect all","Αποεπιλογή όλων"
"x","x"
